ID,block,trial,query,querydetail,querytype,estimate,starttime,endtime,RT
511,1,1,If the weather in England is not cloudy on a random daywhat is the probability that the weather will also be not windy on the same day?, not windy given not cloudy,notAgnotB,60,173504.449897,173527.973532,23.523636
511,1,2,What is the probability that the weather will be  rainy or not cold on a random day in England?, rainy or not cold,notAorB,30,173528.200203,173549.543774,21.343571
511,1,3,What is the probability that the weather will be  rainy on a random day in England?, rainy,B,40,173549.682807,173566.897546,17.214739
511,1,4,What is the probability that the weather will be  snowy or not warm on a random day in England?, snowy or not warm,notAorB,60,173567.066489,173574.961301,7.894811
511,1,5,What is the probability that the weather will be  not snowy on a random day in England?, not snowy,notB,15,173575.133075,173592.152927,17.019852
511,1,6,What is the probability that the weather will be  windy and cloudy on a random day in England?, windy and cloudy,AandB,60,173592.266278,173601.976739,9.710460
511,1,7,What is the probability that the weather will be  not windy or not cloudy on a random day in England?, not windy or not cloudy,notAornotB,20,173602.099497,173612.680523,10.581026
511,1,8,What is the probability that the weather will be  cold or rainy on a random day in England?, cold or rainy,AorB,70,173612.816087,173619.464549,6.648462
511,1,9,What is the probability that the weather will be  cold on a random day in England?, cold,A,60,173619.599324,173625.552416,5.953091
511,1,10,What is the probability that the weather will be  warm and not snowy on a random day in England?, warm and not snowy,AandnotB,40,173625.682632,173635.640240,9.957608
511,1,11,What is the probability that the weather will be  not warm on a random day in England?, not warm,notA,60,173635.749206,173641.248231,5.499025
511,1,12,What is the probability that the weather will be  cloudy and not windy on a random day in England?, cloudy and not windy,notAandB,80,173641.415808,173649.320012,7.904205
511,1,13,What is the probability that the weather will be  not rainy on a random day in England?, not rainy,notB,60,173649.515754,173656.015911,6.500157
511,1,14,If the weather in England is not warm on a random daywhat is the probability that the weather will also be snowy on the same day?, snowy given not warm,BgnotA,40,173656.165154,173667.943898,11.778744
511,1,15,If the weather in England is rainy on a random daywhat is the probability that the weather will also be not cold on the same day?, not cold given rainy,notAgB,20,173668.098911,173675.327733,7.228823
511,1,16,If the weather in England is not rainy on a random daywhat is the probability that the weather will also be cold on the same day?, cold given not rainy,AgnotB,60,173675.448844,173682.615341,7.166497
511,1,17,What is the probability that the weather will be  snowy and not warm on a random day in England?, snowy and not warm,notAandB,30,173682.798756,173692.735265,9.936509
511,1,18,What is the probability that the weather will be  cloudy on a random day in England?, cloudy,B,80,173692.898723,173698.039495,5.140772
511,1,19,What is the probability that the weather will be  cold and rainy on a random day in England?, cold and rainy,AandB,45,173698.215278,173706.943072,8.727794
511,1,20,What is the probability that the weather will be  warm on a random day in England?, warm,A,30,173707.048532,173712.486885,5.438353
511,1,21,If the weather in England is cold on a random daywhat is the probability that the weather will also be not rainy on the same day?, not rainy given cold,notBgA,60,173712.615164,173721.846663,9.231498
511,1,22,What is the probability that the weather will be  not warm and not snowy on a random day in England?, not warm and not snowy,notAandnotB,60,173722.015082,173737.790292,15.775210
511,1,23,What is the probability that the weather will be  warm or not snowy on a random day in England?, warm or not snowy,AornotB,45,173737.998267,173747.237965,9.239698
511,1,24,What is the probability that the weather will be  cloudy or not windy on a random day in England?, cloudy or not windy,notAorB,70,173747.414849,173754.869854,7.455005
511,1,25,What is the probability that the weather will be  not windy and not cloudy on a random day in England?, not windy and not cloudy,notAandnotB,30,173755.014750,173761.581695,6.566945
511,1,26,If the weather in England is not snowy on a random daywhat is the probability that the weather will also be not warm on the same day?, not warm given not snowy,notAgnotB,55,173761.681376,173771.229543,9.548166
511,1,27,If the weather in England is not snowy on a random daywhat is the probability that the weather will also be warm on the same day?, warm given not snowy,AgnotB,45,173771.347971,173788.733301,17.385330
511,1,28,What is the probability that the weather will be  not warm or not snowy on a random day in England?, not warm or not snowy,notAornotB,60,173788.881125,173802.085241,13.204116
511,1,29,What is the probability that the weather will be  not cloudy on a random day in England?, not cloudy,notB,30,173802.264340,173810.996915,8.732574
511,1,30,What is the probability that the weather will be  not cold and not rainy on a random day in England?, not cold and not rainy,notAandnotB,40,173811.164241,173822.452744,11.288503
511,1,31,If the weather in England is not cold on a random daywhat is the probability that the weather will also be not rainy on the same day?, not rainy given not cold,notBgnotA,60,173822.580796,173832.556531,9.975735
511,1,32,What is the probability that the weather will be  not cold on a random day in England?, not cold,notA,45,173832.880730,173843.444435,10.563705
511,1,33,What is the probability that the weather will be  rainy and not cold on a random day in England?, rainy and not cold,notAandB,25,173843.663953,173851.828222,8.164270
511,1,34,What is the probability that the weather will be  cold and not rainy on a random day in England?, cold and not rainy,AandnotB,65,173851.997193,173860.596002,8.598809
511,1,35,If the weather in England is not cloudy on a random daywhat is the probability that the weather will also be windy on the same day?, windy given not cloudy,AgnotB,40,173860.780469,173872.507783,11.727314
511,1,36,If the weather in England is snowy on a random daywhat is the probability that the weather will also be not warm on the same day?, not warm given snowy,notAgB,95,173872.630356,173890.355757,17.725401
511,1,37,If the weather in England is not windy on a random daywhat is the probability that the weather will also be not cloudy on the same day?, not cloudy given not windy,notBgnotA,45,173890.513530,173898.043491,7.529961
511,1,38,What is the probability that the weather will be  snowy on a random day in England?, snowy,B,20,173898.196790,173904.475603,6.278813
511,1,39,If the weather in England is cloudy on a random daywhat is the probability that the weather will also be not windy on the same day?, not windy given cloudy,notAgB,45,173904.663369,173911.091117,6.427748
511,1,40,If the weather in England is cold on a random daywhat is the probability that the weather will also be rainy on the same day?, rainy given cold,BgA,60,173911.229984,173917.763073,6.533089
511,1,41,If the weather in England is not warm on a random daywhat is the probability that the weather will also be not snowy on the same day?, not snowy given not warm,notBgnotA,55,173917.929940,173924.898914,6.968974
511,1,42,If the weather in England is rainy on a random daywhat is the probability that the weather will also be cold on the same day?, cold given rainy,AgB,70,173925.113184,173933.994582,8.881398
511,1,43,If the weather in England is windy on a random daywhat is the probability that the weather will also be cloudy on the same day?, cloudy given windy,BgA,55,173934.129792,173943.746494,9.616702
511,1,44,If the weather in England is not cold on a random daywhat is the probability that the weather will also be rainy on the same day?, rainy given not cold,BgnotA,30,173943.879698,173956.482261,12.602563
511,1,45,If the weather in England is warm on a random daywhat is the probability that the weather will also be snowy on the same day?, snowy given warm,BgA,5,173956.612918,173970.678953,14.066036
511,1,46,If the weather in England is not windy on a random daywhat is the probability that the weather will also be cloudy on the same day?, cloudy given not windy,BgnotA,45,173970.879491,173986.129770,15.250279
511,1,47,If the weather in England is snowy on a random daywhat is the probability that the weather will also be warm on the same day?, warm given snowy,AgB,5,173986.279306,174001.425505,15.146199
511,1,48,What is the probability that the weather will be  not windy on a random day in England?, not windy,notA,60,174001.645829,174012.345097,10.699268
511,1,49,If the weather in England is warm on a random daywhat is the probability that the weather will also be not snowy on the same day?, not snowy given warm,notBgA,90,174012.512402,174021.953103,9.440701
511,1,50,If the weather in England is cloudy on a random daywhat is the probability that the weather will also be windy on the same day?, windy given cloudy,AgB,60,174022.061781,174031.776724,9.714943
511,1,51,What is the probability that the weather will be  warm and snowy on a random day in England?, warm and snowy,AandB,5,174031.928861,174038.848800,6.919939
511,1,52,What is the probability that the weather will be  not cold or not rainy on a random day in England?, not cold or not rainy,notAornotB,60,174038.962153,174059.352452,20.390299
511,1,53,If the weather in England is windy on a random daywhat is the probability that the weather will also be not cloudy on the same day?, not cloudy given windy,notBgA,45,174059.528635,174069.248075,9.719440
511,1,54,What is the probability that the weather will be  windy or cloudy on a random day in England?, windy or cloudy,AorB,70,174069.378551,174074.456009,5.077458
511,1,55,What is the probability that the weather will be  windy or not cloudy on a random day in England?, windy or not cloudy,AornotB,55,174074.595142,174083.879799,9.284656
511,1,56,If the weather in England is not rainy on a random daywhat is the probability that the weather will also be not cold on the same day?, not cold given not rainy,notAgnotB,40,174084.045086,174095.647571,11.602486
511,1,57,What is the probability that the weather will be  windy on a random day in England?, windy,A,40,174095.794976,174100.224000,4.429023
511,1,58,What is the probability that the weather will be  warm or snowy on a random day in England?, warm or snowy,AorB,20,174100.344915,174111.927317,11.582402
511,1,59,What is the probability that the weather will be  cold or not rainy on a random day in England?, cold or not rainy,AornotB,70,174112.028172,174118.263197,6.235025
511,1,60,What is the probability that the weather will be  windy and not cloudy on a random day in England?, windy and not cloudy,AandnotB,60,174118.378090,174128.698964,10.320874
511,2,1,What is the probability that the weather will be  not windy and not cloudy on a random day in England?, not windy and not cloudy,notAandnotB,45,174128.811313,174133.758900,4.947587
511,2,2,If the weather in England is cold on a random daywhat is the probability that the weather will also be rainy on the same day?, rainy given cold,BgA,75,174133.927932,174140.926778,6.998846
511,2,3,What is the probability that the weather will be  snowy or not warm on a random day in England?, snowy or not warm,notAorB,25,174141.094557,174154.750499,13.655943
511,2,4,What is the probability that the weather will be  warm on a random day in England?, warm,A,30,174154.844403,174163.110828,8.266425
511,2,5,What is the probability that the weather will be  cold on a random day in England?, cold,A,70,174163.277683,174169.790506,6.512823
511,2,6,What is the probability that the weather will be  cold and not rainy on a random day in England?, cold and not rainy,AandnotB,60,174169.944270,174177.854083,7.909813
511,2,7,If the weather in England is cold on a random daywhat is the probability that the weather will also be not rainy on the same day?, not rainy given cold,notBgA,55,174177.960902,174191.173836,13.212934
