ID,block,trial,query,querydetail,querytype,estimate,starttime,endtime,RT
801,1,1,If the weather in England is not cloudy on a random daywhat is the probability that the weather will also be not windy on the same day?, not windy given not cloudy,notAgnotB,30,250730.091160,250752.605086,22.513927
801,1,2,If the weather in England is warm on a random daywhat is the probability that the weather will also be not snowy on the same day?, not snowy given warm,notBgA,70,250752.740980,250763.830342,11.089361
801,1,3,What is the probability that the weather will be  windy or not cloudy on a random day in England?, windy or not cloudy,AornotB,60,250764.024230,250779.767421,15.743191
801,1,4,If the weather in England is rainy on a random daywhat is the probability that the weather will also be cold on the same day?, cold given rainy,AgB,70,250779.940417,250792.023121,12.082704
801,1,5,What is the probability that the weather will be  not warm or not snowy on a random day in England?, not warm or not snowy,notAornotB,40,250792.207345,250802.158918,9.951573
801,1,6,What is the probability that the weather will be  not windy and not cloudy on a random day in England?, not windy and not cloudy,notAandnotB,30,250802.290276,250813.206719,10.916443
801,1,7,What is the probability that the weather will be  snowy on a random day in England?, snowy,B,2,250813.306830,250824.570834,11.264004
801,1,8,What is the probability that the weather will be  not rainy on a random day in England?, not rainy,notB,40,250824.756752,250830.782255,6.025504
801,1,9,What is the probability that the weather will be  not warm and not snowy on a random day in England?, not warm and not snowy,notAandnotB,60,250830.956721,250847.757889,16.801168
801,1,10,What is the probability that the weather will be  not warm on a random day in England?, not warm,notA,60,250847.940236,250852.509729,4.569493
801,1,11,What is the probability that the weather will be  warm or snowy on a random day in England?, warm or snowy,AorB,20,250852.673496,250859.693646,7.020150
801,1,12,If the weather in England is not cold on a random daywhat is the probability that the weather will also be not rainy on the same day?, not rainy given not cold,notBgnotA,60,250859.856496,250871.501453,11.644957
801,1,13,What is the probability that the weather will be  rainy or not cold on a random day in England?, rainy or not cold,notAorB,40,250871.656396,250892.294306,20.637910
801,1,14,If the weather in England is windy on a random daywhat is the probability that the weather will also be not cloudy on the same day?, not cloudy given windy,notBgA,40,250892.473226,250901.988751,9.515525
801,1,15,What is the probability that the weather will be  cold or not rainy on a random day in England?, cold or not rainy,AornotB,70,250902.222838,250912.380662,10.157824
801,1,16,What is the probability that the weather will be  not cold on a random day in England?, not cold,notA,30,250912.539435,250918.724417,6.184981
801,1,17,If the weather in England is not cloudy on a random daywhat is the probability that the weather will also be windy on the same day?, windy given not cloudy,AgnotB,60,250918.872697,250927.540257,8.667560
801,1,18,What is the probability that the weather will be  windy and cloudy on a random day in England?, windy and cloudy,AandB,50,250927.689300,250933.467718,5.778418
801,1,19,If the weather in England is cloudy on a random daywhat is the probability that the weather will also be windy on the same day?, windy given cloudy,AgB,70,250933.672891,250950.491726,16.818835
801,1,20,If the weather in England is cloudy on a random daywhat is the probability that the weather will also be not windy on the same day?, not windy given cloudy,notAgB,40,250950.639161,250960.371733,9.732572
